6, 450
7, 455
8, 461
9, 487
10, 470
11, 487
12, 494
13, 469
14, 519
15, 451
16, 509
17, 465
18, 450
19, 454
20, 488
21, 471
22, 513
23, 479
24, 504
25, 487
26, 505
27, 492
28, 581
29, 604
30, 711
31, 832
32, 905
33, 934
34, 940
35, 933
36, 948
37, 923
38, 931
39, 918
40, 899
41, 902
42, 913
43, 882
44, 805
45, 713
46, 523
47, 450
48, 447
49, 445
50, 445
51, 445
52, 446
53, 447
54, 448
55, 449
56, 446
57, 452
58, 451
59, 454
60, 446
61, 452
62, 451
63, 448
64, 447
65, 450
66, 447
67, 449
68, 453
69, 446
70, 453
71, 451
72, 453
73, 448
74, 452
75, 450
76, 445
77, 450
78, 449
79, 461
80, 450
81, 627
82, 681
83, 700
84, 679
85, 704
86, 681
87, 703
88, 673
89, 616
90, 513
91, 628
92, 553
93, 541
94, 589
95, 571
96, 593
97, 618
98, 520
99, 574
100, 568
101, 563
102, 554
103, 493
104, 495
105, 461
106, 449
107, 449
108, 447
109, 447
110, 455
111, 452
112, 447
113, 443
114, 446
115, 451
116, 444
117, 441
118, 447
119, 453
120, 445
121, 445
122, 441
123, 440
124, 495
125, 754
126, 871
127, 945
128, 906
129, 889
130, 898
131, 893
132, 919
133, 926
134, 901
135, 724
136, 445
137, 443
138, 452
139, 450
140, 451
141, 448
142, 450
143, 446
144, 453
145, 444
146, 451
147, 447
148, 446
149, 453
150, 455
151, 446
152, 451
153, 445
154, 445
155, 443
156, 445
157, 445
158, 448
159, 445
160, 444
161, 447
162, 443
163, 449
164, 445
165, 445
166, 446
167, 443
168, 447
169, 454
170, 536
171, 581
172, 581
173, 552
174, 553
175, 618
176, 524
177, 516
178, 450
179, 448
